run_id,T1_C,T2_C,dT_C,dt_Myr,dTdt_C_per_Myr
000,1023.35,864.05,-159.3,4.999,-31.86413921
001,889.75,438.35,-451.4,5.0,-90.273012144
002,1070.65,910.15,-160.5,5.0,-32.102608166
003,1025.65,754.75,-270.9,4.998,-54.202591706
004,783.45,351.89,-431.56,5.0,-86.319405816
005,1006.65,798.55,-208.1,5.001,-41.612613349
006,1043.45,793.25,-250.2,5.0,-50.035904646
007,1002.05,705.02,-297.03,4.997,-59.437653036
008,945.75,679.04,-266.71,4.999,-53.356484936
009,783.65,391.47,-392.18,5.0,-78.435762962
010,845.85,401.75,-444.1,4.999,-88.830260877
